Date,VTI,VOO,AAPL,MSFT,GOOGL,AMZN,AGG,GLD
2012-01-03,51.11696243286133,91.12548065185548,12.333215713500977,20.96543884277344,16.527029037475586,8.951499938964844,75.67607879638672,155.9199981689453
2012-01-04,51.14048004150391,91.28177642822266,12.399497032165527,21.458833694458008,16.598312377929688,8.875499725341797,75.5728988647461,156.7100067138672
2012-01-05,51.367801666259766,91.57875061035156,12.53715705871582,21.678123474121094,16.368070602416992,8.880499839782715,75.67607879638672,157.77999877929688
2012-01-06,51.25020980834961,91.39122772216795,12.668212890625,22.01488876342773,16.1447811126709,9.130499839782717,75.73799133300781,157.1999969482422
2012-01-09,51.367801666259766,91.53187561035156,12.648119926452637,21.72511100769043,15.460264205932615,8.928000450134277,75.67607879638672,156.5
2012-01-10,51.87733459472656,92.31341552734376,12.693405151367188,21.80342674255371,15.477152824401855,8.967000007629395,75.65547943115234,158.63999938964844
2012-01-11,51.97139358520508,92.40715789794922,12.67271614074707,21.709442138671875,15.547194480895996,8.944999694824219,75.9236831665039,159.6699981689453
2012-01-12,52.09679412841797,92.6103744506836,12.63792324066162,21.92873954772949,15.638594627380373,8.796500205993652,75.86177062988281,160.3800048828125
2012-01-13,51.85380935668945,92.2195816040039,12.59053897857666,22.12452888488769,15.523100852966309,8.920999526977539,76.03368377685547,159.25999450683594
2012-01-17,51.97139358520508,92.46969604492188,12.73719596862793,22.13235664367676,15.612268447875977,9.083000183105469,76.05433654785156,160.5
2012-01-18,52.59848403930664,93.50130462646484,12.869457244873049,22.108863830566406,15.71981430053711,9.472000122070312,75.95806884765625,161.60000610351562
2012-01-19,52.91990280151367,94.00143432617188,12.828668594360352,22.0227108001709,15.885229110717772,9.72249984741211,75.83425903320312,161.22000122070312
2012-01-20,52.9355583190918,94.00143432617188,12.60523796081543,23.267955780029297,14.554443359375,9.546500205993652,75.64166259765625,162.07000732421875
2012-01-23,52.95123672485352,94.0952377319336,12.818471908569336,23.283615112304688,14.542771339416504,9.304499626159668,75.57975006103516,163.16000366210938
2012-01-24,52.943397521972656,93.95458221435548,12.60853385925293,22.978178024291992,14.4287691116333,9.350000381469728,75.64166259765625,162.00999450683594
2012-01-25,53.42941665649414,94.78302764892578,13.39579963684082,23.150484085083008,14.144628524780272,9.390000343322754,75.75174713134766,166.4199981689453
2012-01-26,53.15504837036133,94.29845428466795,13.334917068481444,23.10348892211914,14.11010456085205,9.666000366210938,75.90299224853516,167.27000427246094
2012-01-27,53.194244384765625,94.17343139648438,13.414396286010742,22.89203453063965,14.40517234802246,9.768500328063965,76.02680969238281,168.97000122070312
2012-01-30,52.98258590698242,93.8608169555664,13.5862398147583,23.18963432312012,14.348295211791992,9.607500076293944,76.2469482421875,168.02999877929688
2012-01-31,52.95907211303711,93.81388854980467,13.690311431884766,23.126983642578125,14.408400535583496,9.722000122070312,76.37763977050781,169.30999755859375
2012-02-01,53.57051467895508,94.70482635498048,13.681611061096191,23.4089298248291,14.426283836364746,8.972999572753906,76.24317932128906,169.55999755859375
2012-02-02,53.6645622253418,94.89242553710938,13.64952278137207,23.45591735839844,14.532588005065918,9.086000442504885,76.2638168334961,171.0500030517578
2012-02-03,54.46413803100586,96.23665618896484,13.78628158569336,23.683034896850582,14.81126308441162,9.383999824523926,76.22936248779297,167.63999938964844
2012-02-06,54.43279266357422,96.095947265625,13.914942741394045,23.65171241760254,15.12818717956543,9.156999588012695,76.28453826904297,167.17999267578125
2012-02-07,54.55820846557617,96.39291381835938,14.060702323913574,23.76918029785156,15.070565223693848,9.209500312805176,76.20864868164062,169.6999969482422
2012-02-08,54.6757926940918,96.59613037109376,14.296130180358888,24.011964797973636,15.147064208984377,9.27400016784668,76.1466064453125,168.5
2012-02-09,54.76201248168945,96.70556640625,14.790679931640623,24.098115921020508,15.187052726745604,9.24899959564209,76.02251434326172,168.02000427246094
2012-02-10,54.33087539672852,96.0490493774414,14.798176765441896,23.886661529541016,15.049205780029297,9.277000427246094,76.1259536743164,167.13999938964844
2012-02-13,54.74633407592773,96.78369140625,15.073505401611328,23.94931030273437,15.205432891845703,9.579500198364258,76.15351867675781,167.50999450683594
2012-02-14,54.66795349121094,96.6430206298828,15.279237747192385,23.846834182739254,15.14482879638672,9.5649995803833,76.21556854248047,167.1199951171875
2012-02-15,54.43279266357422,96.22101593017578,14.925644874572754,23.689165115356445,15.04051399230957,9.22350025177002,76.1880111694336,168.11000061035156
2012-02-16,55.08339691162109,97.26822662353516,15.061806678771973,24.666690826416016,15.06435489654541,8.996500015258789,76.17424011230469,168.0
2012-02-17,55.16181182861328,97.50271606445312,15.059100151062012,24.63515281677246,15.017661094665527,9.125,76.07768249511719,167.35000610351562
2012-02-21,55.13828659057617,97.56523895263672,15.44089412689209,24.784936904907227,15.25013828277588,9.11299991607666,75.96045684814453,171.02000427246094
2012-02-22,54.9658203125,97.23699188232422,15.386603355407717,24.650922775268555,15.09962558746338,9.029000282287598,76.17424011230469,172.94000244140625
2012-02-23,55.27153778076172,97.70588684082033,15.48707103729248,24.729751586914062,15.05417251586914,8.944499969482422,76.23627471923828,173.02000427246094
2012-02-24,55.34990692138672,97.8465576171875,15.667627334594728,24.81647300720215,15.148306846618652,8.956500053405762,76.25695037841797,172.22999572753906
2012-02-27,55.39697265625,98.0185089111328,15.76809024810791,24.7139835357666,15.13365364074707,8.92650032043457,76.49826049804688,171.6999969482422
2012-02-28,55.55373001098633,98.36237335205078,16.057504653930664,25.12390899658203,15.359175682067873,9.1899995803833,76.443115234375,173.49000549316406
